statement,emotion
If nobody makes plans by tomorrow morning Im gonna finally watch all those SVU episodes crowding my DVR   ,sadness
Liz must have looked as woebegone as she felt when they staggered into the stuffy carriage  because Barbara had burst out laughing  ,sadness
And so it beginsthe countdown to a  and the possibility of an almostnew life  ,fear
When my first love was not successful,sadness
A talk with my mum made me realise how afraid and unprepared I am for my future ,fear
About to get sick with a chest cold I can feel it Its not going to be good ,joy
 It  s getting worse  Now he  s eating me out of house and home  I  Ve tried talking to him but it all goes in one ear and out the other  He makes himself at home  which is fine  But what really gets me is that yesterday he walked into the living room in the raw and I had company over  That was the last straw  ,sadness
 Yes  I am  ,neutral
Everyone else is getting ready to go out and Im getting ready to start ny hamlet questions ,joy
Okay so now Russia seems to be the new nation to be going thru the whole kicking out the ruling party drama  ,sadness
NoSaidJoe Oh and Apples to Apples at ZimChristParty or die AND why is Danny Brown opening for childish gambino ,sadness
An exasperated Galileo was able to show up the inadequacy of his rival s position in a characteristically witty way  ,anger
Agony  I had no time to feel nervous about facing Steve Bull and Andy Mutch  ,fear
 Thats right ,joy
My worst is not having a futureand I fear the future of our country,fear
Furuseth was furious with himself  ,anger
I felt anger of a friend when she met a date and become nervous and pest as she always gets when she meets him,anger
In our elation there was some suspicion that our experience had been secret  adventurous  and unique  ,joy
The only positive to this week finding out about ncsu Besides that 4 exams 2 games and 2 cheer camps ,joy
myfoxla you are reporting on the basis of please stop trying to place fear into viewers Its quotuncoolquot occupyla ows,fear
Haha of course I come home to a different house leave it to my parents to redo the entire downstairs without warning ,surprise
In recent months a growing number of federal judges and lawyers have voiced their exasperation with America s approach to drugs  ,anger
But conservatives are also miffed about Foster s long ties to the Planned Parenthood Federation of America and the fact that his teenage pregnancy program dispenses contraceptives ,anger
Hamden tonight to see christmas lights with fwends ,joy
 I  ll stand in with you if you like  I  Ve got nothing else to do  ,neutral
Road works do my fucking head in Some of us need sleep fumin,anger
Plummer wanted to know  a note of exasperation in his voice  ,anger
Hate driving next to 18 Wheelers Heart starts pounding through my chest every time ,fear
 Fine  By the way would you mind not slurping your coffee every time you have a cup  ,anger
Three days of a full house of familyMy fruit has been tested I passed the testI think    ,joy
A friend had promised to call me at a certain time I expected his call impatiently but in vain,anger
 You cant be serious  How dare you not tell me you are going to marry her  ,anger
Going to bed gottowakeupearly going to Coronado tomorrow  I miss that place ,surprise
Strictly avoid frightening ideas ,fear
I am surely not alone in feeling profoundly sad over the socalled reprieve of certain regiments in the British Army  ,sadness
too bad when the feelings wash up I feel nothing but ,disgust
Mmm Caitlin you pretty random A Monday night and you on fire for God Oooh but bruh He just been so good I cant explain it ,joy
I was particularly pleased at the emphasis on investment in education and training  in science research and development and the commitments he gave on transport and health and community care  ,joy
 I was stuck between 15th and 16th floors in the elevator  ,fear
To our gratification  Blackwells  whom we had approached  expressed interest in the project  something we had not dared to expect  ,joy
When riding in a very fastlydriven car on a lose metal road at a very late hour  no other cars on road and driver was taking corners very sharply I felt afraid  because if an accident happened the area was very isolated Also I feared for driver after I was dropped off  would he make it home safely,fear
When I learned that my former boyfriend had become engaged  although I was glad that he had found what he wanted I was very sad at my own personal loss since I had always hoped we might one day reconcile,sadness
RevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
I would never talk to a girl that smokes amp shoo hal wi95a haiyquotMyNameIsDana I Hate Smoking Girls quot,disgust
i guess ill try to sleep again since im waking up in 3 hours ,joy
I just want to keep sleeping but I guess a Christmas service and an Ethiopian dinner are well worth it   ,joy
Vitor went down on his hunkers and  much to the child s glee  spent a minute or two admiring the toy  ,joy
the drink my mom gave me to get rid of this cold ltltltlt ,disgust
Annnnnd we found the PERFECT present But hannahs mom already got it for her Amy and i have to hit the stores again  ,joy
First a friend with terminal brain cancer now another friend has suffered a major stroke and is unlikely to recover ,sadness
In August1983 the long awaited big envelope a document for CUHK admission arrived  It was in the afternoon and I had not been doing anything  When the postman with his big bag knocked on the door I knew what it was about  I hurriedly opened the envelope and my mood at that time is hard to describe  It lasted several hours and only calmed down later,joy
jchouinardx I just finished watching Harry Potter and The Gobet of Fire I cried when Diggory died ,sadness
so happy ive finished this english coursework 998 wordss D,joy
Also wondering who saw me making out with her at the bar last night Im bi Lol,surprise
imagine at night you are in a motel bathroom taking a shower suddenly you see a snake on the door then blackout what do u do ,fear
 everyone this month is the biggest of all with  and  2012 round the corner now May u all find RT,joy
Cutest puppy EVER at the gas station  but now Im all wet from petting him   ,joy
It was some years ago when one evening some people came home and told us my father was badly injured in an accident,fear
 My boss  ,neutral
 Sorry  Im very near sighted  ,sadness
 Won  t you get lonely  ,neutral
not afraid of tomorrow for I have seen yesterday and I love today less,fear
So I guess I have to wake up at 4 2moro  SO HAPPY ohhh sarcasm,joy
False Evidence Appearing Real ,fear
quotYou have put more joy in my heart than they have when their grain and wine aboundquot Ps47 True comes from God not anythingone else,joy
Cant wait to drive to skool in the snow tomrw ,joy
When after having cleaned up the kitchen two hours later I saw that there was a big mess It irritated me very much,anger
Branson was nonplussed by Elliott s refusal  in fact  it constituted the perfect challenge  ,surprise
Out of a 5 he school day I had 2 lessons and spent 3 hours in the library  Nerd ahaha ,surprise
She is furious that he has married beneath him  but appalled when her vicious attack on him threatens to end their relationship for ever  ,anger
Their mother died a month later  heartbroken by the loss of her mate  ,sadness
While studying chemistry with a friend we became angry with eachother because we were both fed up,anger
Good thing I always dress appropriately I came to visit the baby and the WHOLE family was there ,surprise
A lot of the time you just shoot because you re caught up in something then you see it published and you re a bit embarrassed because in your heart you know what it was  ,shame
i guess i will do my paper tonighton a saturday night ,joy
RevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
Its official Kings Henry Feast is closed bringonthenextremove voges5 madelinevoges lnvoge,sadness
Sitting on a broken bus with terrastenger going to a hi los gig ,joy
Damn you Murphy why does your law have to be true Off to the library to start over on my papers ,joy
Forgetting that youve already eaten your advent calender chocolate and being very sad when you realise its gone ,sadness
i secretly placed the watch on a shelf in my brothers room he hasnt seen it yet but he will eventually merrychristmas ,surprise
About to head out to my godson bday party then off to wrestle tonight so geeked for this day   joy ,joy
Waited for my replacement phone to be delivered IT DOESNT EVEN WORK ,anger
Legit my hair and makeup is cute lol since I just wokeup,surprise
Its December 1 The big build up to the best time of year starts here Surreal Christmas special coming very soon we promise ,surprise
TayDeath I dont feel good AT ALL Passed out in my shower nbd,joy
The part where David chases down Gary in the woods amp snaps his neck is crazy ,fear
McChillin420 want my buffet you fucking gay chineserap,surprise
GTL  Gym teaching long shift at work ,joy
Break What is your favorite food See it smell it taste it Feel the enjoyment of eating it right now LJB,joy
John s father came down from Cheltenham to see her  grieving and concerned for her future  ,fear
IDK what Id do if I ever got attacked by any type of wild animal ,fear
 Ive lost my Travellers Cheques  all of them  ,sadness
 Ill tell you all about it another day  ,sadness
 Why  ,neutral
As he released his anger  he felt his love for his exwife  and wept over their divorce  ,anger
InspireUs  quotIts not joy that makes us grateful it is gratitude that makes us joyfulquot David Rast gratitude,joy
The sight of a man who ran amok fighting at a dance,anger
7 billionth kid is an Asian meditating ,surprise
Lazy glistening Sunday afternoon Mass tonight at the Eucharistic Shrine ,joy
 Wonderful  I  m so excited  ,joy
 I dont need a car  I walk to work  ,joy
Bardstown rd aglow is stupid Quit parking in front of my house for this stupid event   ,anger
Traffic stinks At least I get to be in a confined space and listen 2 GOPTaylor scream at newenglandpats radio ,joy
 Yes  I really weak in maps  I did poorly in high school  ,sadness
Strictly avoid frightening ideas ,fear
Theyre playing Manchester Orchestra in between actsHey Allston Pudding I really would have liked to go to that concert ,anger
quotdebrareble follows a pure thought like a shadow that never leavesBuddha quotequot,joy
She was irritated  indignant  ,anger
 Is he in  ,neutral
In icy tones  the offended bureaucrat replied   For future reference  you will call me Mr Hooton  not Richard   ,anger
When someone lies to me,anger
Never to early for a red stripe All aboard Chewys  birthday ,surprise
PARADE   its the simple things that make me happiest and thankful,joy
When someone does something wrong which affects me negatively,anger
My first public appearance in front of a rathe big audience,fear
Break A FedEx guy is knocking on your door He has a box for you Sign for it amp receive it LJB,joy
jerricaleann the last season part two I cant stand to buy it and recognize its over ,sadness
These days he is quite happy travelling by trolley  ,joy
Nee echt helemaal niemand die voor vijf euro een mooi hart wil papiermarcheen en verfen ,surprise
Smoking advert is fucking sick the money spent on it could be spent on saving lives instead of telling me how to live mine Fuck up ,anger
Being invited out by a person I wished to get closer to He telephoned and invited me to go out with him the next night,joy
I was caught doing something I was not supposed to do  I did something with the person who caught me bribe and even though he promised not to report me I am still frightened,fear
 Oh  I see  ,neutral
I honestly didnt think I was capable of obtaining this much knowledge imgonnaforgetitalltomorrow,surprise
Finally getting to sleep after a long and work filled dayjust to wake for another day just like it ,joy
Im so fucked off Ive had a new arse hole given to me today ,joy
HowardAlonzo MrMarchand PageKennedy MrShaneEMiller DJWES WillyVille TADAO310 ltSo still NO BET from u MR LA ALL DAY Haaaaaa ,fear
I saw the world without any borders in my  I was flying under the sun above the trees no just love Dreams are my reality,fear
 Fine  ,neutral
Time for family guy and sleep as tomorrow we shop for a camcorder ,joy
Amazing night  ACT in the morning ,joy
rachiebugg oh honey love you know me so well Lets watch Yesterday was the first sunday we didnt hang out ,sadness
Thenceforward I was always wanting to take the joys of solitude and of society in their extreme forms  and was alternatively miserable from the lack of company or the presence of uncongenial company  ,sadness
not afraid of tomorrow for I have seen yesterday and I love today less,fear
  I miss Family Matters and Step by Step ,sadness
 Unfortunately  I missed a chance to see a classic movie  ,sadness
 Forget it  It was a bitter pill for me to swallow  ,anger
Gotta love that moment when your parents say your full name and you start thinking of all the bad things youve done recently ,fear
Strachan was alarmed at the way the German defence manhandled the 33yearold frontrunner and got away with it  ,fear
 I  m definitely taking them to court  ,anger
The note of anger carried to the groups and couples passing by  provoking amusement and raised eyebrows  ,joy
Rough morning coming back to work on a yucky day after a 4day weekend ,sadness
Dear and scary developers You almost killed me I hope you are now happy,fear
Back in MTL but I really wish I still was in NYC seeing 30SECONDSTOMARS for the last time at the CHURCH OF MARS MARS300,sadness
People that dont know the proper way to use grammar ,anger
Oh fuck me sideways this isnt a real thing Fuckin billplunkettocr plays my rage against me again first management second,anger
 Well  thanks for the suggestions  ,joy
Its your turn  sir  Im sorry that youve had to wait  ,sadness
I think we go for people we know arent right on purpose out of of ever having anything real,fear
 Thank you  I will  Hope to see you again next year  ,joy
Clearly miffed at the failure of their resolution  the Communists opened an attack Thursday on another front  threatening to torpedo the 1997 budget by refusing to take part in the final vote Friday ,anger
 when people have their iPods up way to loud I am becoming one through weareloonlake Woops,fear
Alexandra grew even crosser as it became obvious that Matthew had been invited in his own right  ,anger
Time had struck 8 oclock when I heard from the radio that I had been selected to Robert Blake Secondary School for Form I I was very happy for the selection My parents and I were very happy and full of joy,joy
Just met a nuclear engineer from Los alamos who grew up on the farm in Iowa ,surprise
slept in got in the word  amp looking forward 2 an afternoon with food friends amp the ballet  Sundayfunday,joy
Its funny how we take a day a year to dress up in costumes and celebrate ,fear
What is a mid season finally and why is The Walking Dead doing it ,sadness
what you think just by damaging car or putting opsticles will prevent me from my opinions ampthoughtsas long i have RED WHITE amp blueNO ,fear
When a classmate died,sadness
The disgruntlement among its two million members is almost palpable  ,disgust
You know its bad when you know to dude you leave in a heart beat for a stripper only if she gave him a chance ,sadness
25 days of christmaslt333 I love this time of year its amazing ,joy
 I see  ,neutral
This was when my boyfriend told me that I was doublecrossing him with a certain boy,anger
Bad news guys Lost my hipster glasses Swagger on a negative hundred thousand trillion ,sadness
quotThe stars align in how your CityYearSanJose team partners with our staff Its so natural Thats rarequot 4th grade teacher impact,joy
A couple tru fits from da team amp a ace of spade bottle on my day so far,joy
 Absolutely  ,neutral
McMinnville for basketball tournament over break ,joy
 Hes a chicken guy  ,neutral
Shits keeping me from watching Dexter Fury,anger
Miss Logan concealed her astonishment at this curious lecture  but felt bound to enquire further  ,surprise
False Evidence Appearing Real ,fear
Something exciting is happening for the New Year Stay Tuned newyears,surprise
Please dont mind me Im quite content waiting in line behind you and your week old sweat ,joy
Milton took pity on his embarrassed friend  ,shame
The Chinese president was said to be miffed when the administration refused his request for a state visit at the White House  complete with starspangled welcoming ceremonies and a blacktie dinner ,anger
Saucy Sunday in Seattle  Family Joy Xmas Decorating NFL Fire and Tea  ,joy
Ortho appointment tomorrow then dentist appointment thursday ,joy
I pointed out that I kissed Frankie but she dismissed my puzzlement  ,surprise
EchoMotivator what a wonderful kind thought truly brightened my day and yes I would love to share with you x,joy
When my girlfriends nephew passed away,sadness
Dealing with comcast customer service ,joy
 I  m fine  But I have bad news  ,sadness
I Am So Fascinated With The  Experience  Why  He Is Hilarious  His Behavior WasIs Obnoxious amp It Lent To Parody  ,disgust
that depressing moment when you drop your candy cane amp it shatters into 39975216900076542 billion pieces  ,sadness
when you go from just existing day to day to Living  ,joy
Once I had an argument with my friends and I knew that I was right  My friends went on arguing with me even though they did not know the right thing,anger
I can tell that your not use to the truth all the time Its sad really   SMH,sadness
Leading scorer Paul Wilkinson struck his 20th goal of the season against his former club but looked glum as he left the dressing room  ,sadness
I also hate the dentist  and thats were I am heading to I wish he was on strike lol brokentooth,fear
robertjonas bhoovler7 lafemmeloca I hope the rest of MLS is as dismissive of Morrow and Beita as ETR were ,surprise
No lt3  dont let them bring u down RT lily101608 How to ppl wake up in the morning after what they have done   ,anger
Since I put my foot in my mouth last night I wont be getting texted first today ,joy
Fell asleep at literally 6 oclock yesterday 14 hours of sleep  wasted my Saturday night  missed TannerLaw ,sadness
Horror by gunfire differs little from horror inflicted by the guillotine  sword or wheel  it seems  and sheer bestiality lurks only fractionally below the veneer of socalled civilized societies  ,fear
When a friend died,sadness
This is the 1st sunday since July that I dont hav 2 worry abt leavin Clarendon  5 am for work ,joy
Welp Im glad I remembered I have a quiz in stat on Wednesday just one more thing added to my million things to do ,joy
Kohesion10 trying to write a lesson plan Im new to this and apparentyl I SUCK ,sadness
His last illness was the most violent  and his doctors were astounded that he survived it  ,surprise
He hadnt sounded very pleased about something  that made two of them  ,joy
When someone threw a firecracker into my room at 700 am in the morning,anger
Ewwww the people on the other side of the certain of us are talking about boils in private areas ,disgust
Children that dont talk are scary when sick Whats this rash now And was that what the nightlong crying was about  help,fear
The  advert is possibly the most annoying thing on Tv Makes me run up to the twat and clatter him ,anger
My alarm informed me that its going off in 2 hours and 37 mins ,joy
If there is not quite an embarrassment of riches  there is enough to make the small investor blush at the choice  ,shame
Then she remembered his horror when he d said   Do nt tell me you re a virgin   and her heart closed in on itself like a wounded animal  ,fear
Last day of  today I im so excited at the same time so sad ,sadness
You know i spend money cause spending time is hopeless ,fear
Katherine could feel his anguish  and for the second time that day the tears slid down her cheeks  ,sadness
 Possibly  ,neutral
I dont need to swear to anything Punch your mrs and youll wake up with your dick on your pillow next to bloody scissors ,fear
kellybrooke57 just made my night What a  awesome ,surprise
Another half hour of Wilcox taking noteslt3,joy
Band concert tonight ,joy
quotwe cant stop here this is DRONE countryquot ,fear
TheBodyShopUK it brings me Kids in bed  full bottle of wine  joy,joy
RevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
Its such a beautiful day I cant help but let the child in me twirl and spin ,joy
Bon je vais chez le coiffeur Je sais pas comment je vais revenir ,surprise
Ima sexy niqqa but sometimes my confidence level is on a all time low ,fear
mrpatulski Thanks I am so moved by the response But the real magic was seeing hundreds of people turn and see  GRmi,surprise
B4 u were in my life I was afraid of loneliness amp with u in my life I am scared of you leaving To be  u must first accept ,fear
How may I help you  ,neutral
I felt joy when I heard over the radio that I had been successful in my Primary School Leaving Certificate Examination and was selected for Secondary School,joy
When I was in my village one of my enemies had written a nonsense letter to a girl and he told the father of this girl that I was the culprit  When I got to know this I was scared as  the girls father was a worse man,fear
Really wanna watch a movie but my brother has the PS3  ,sadness
 Sorry  We mustnt stop here  ,sadness
Brb crying RT Davidsanbornn Cleaning out the house for the move  ,sadness
 You think of everything  do nt you   she said with a delighted smile  ,joy
Day time robbery of our house,sadness
I wonder whats behind my daughters advent calendar today Oh look its chickenpox ,joy
FML rewriting Maths on Monday Not good at Maths  and ,sadness
skip denial skip bargaining depression stage ,anger
Together with a little brother I biked on a lonely road in the Polder Then we were annoyed by a boy on a motorbike he took over stopped took over etc Then we saw he had something in his hand we turned until we came across a man who accompanied us,fear
 sounds like he is pretty cute  What do you think of him  ,neutral
So Factor is coming back amp it comes on tomorrow Thats Whats Up but what time amp what channel,fear
Sorry You CANT steal my or my ministryplease talk to GODHes responsible for it all D GetUnited,joy
Better start on my maths homework ,joy
My racing thoughts are keeping me awake  ,sadness
It is the DNDs job to cover the ass of a lying Minister of National Defence Abuse of Power Absence of Ethics  RAGE,anger
Riseofakingski it will be ugly They gone be the team this year,surprise
 that  s interesting  What does your grandfather think of your stepmother  ,neutral
 I Believe I will  Look for me near the lake  ,neutral
RevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
 I went to the library and lost my bag  ,sadness
keenanaylwin globeandmail Crime has nvr been lower Why do  amp pmharper keep screaming for more police amp bigger jails greed,fear
When I was involved in a car accident last November after the first fall of snow  I lost control of the car and it spun round and landed on the opposite side of the road on the hard shoulder  It was stopped by a pole on top of a bank sloping down to a stream,fear
usaopoly bad enough the futurama monopoly shipped way late but the beat up scratched dirty print defect game boxes are too far ,anger
The simple  laughing islanders subsequently worshipped it as a god  much to the amusement of their more sophisticated neighbours  ,joy
Watching back 2 back episodes of  this is how I manage my amp Sadness AssadAbuses my family amp relatives in SyriaxAMar15,anger
stay away from niggas that can land me in some trouble ,fear
Minute shards of glass slashed across Rohmer s ecstatic face  ,joy
Its actually a really great day today ,surprise
When I received my SYJC results which did not allow me to get   admission in engineering,sadness
 To some extent  he is  And what do you think we move to a better place  I cant see him clearly from here  ,joy
Ugh I just remembered there is a monster test in Japanese tomorrow ,joy
Walking around the University at night by myself having been previously warned of rapes etc,fear
Just knowing that factor OS coming back makes my whole entire night ,fear
 Great  Wait here  You don  t have enough room for the amplifiers  microphones or even your drums  By the way where do you keep them or practice  ,joy
SeattleMaven my twitter is not working at work ,sadness
Updated  status as I miss my brother next minute got to know from my Mom he is on his way home   ,surprise
I would make a lovely mother but I would HATE to go thru with the pregnancy and give birth ,fear
I love finding a chewed 4500 lipstick Someone is in deep deep trouble ,anger
One of these days well tire of taking digs at  InsaneSibal and others But they wont ever tire of stupidity ,sadness
I want to go see breaking dawn but EVERYONE IN THE ENTIRE WORLD has already seen it ,sadness
is my kids reaching into their stockings on Xmaswatching the smiles on their face when they find gorgeous TheBodyShopUK animal soaps,joy
 Around 3pm  ,neutral
danielinbtown christmas music today P but tomorrow ill be waking up to that music not,joy
Rewatching the chevron world challenge  tiger,joy
Words bubbled in Jay s mind with an absurdly happy smile  ,joy
My brother wanted me to buy a flute with him but I didnt accept afterwards I regretted it because he became sad,sadness
Okee weet iemandd een leuk cadeautje voor een jongen van 14 voor bram,surprise
Tzann clucked his tongue with mild exasperation  ,anger
Netball tournament was good Bloody ref giving me contact for something I didnt do ,anger
jessylikewhoa well see haha  maybe ill buy one or just wear cute clothes ,surprise
Fear when fulfilling my obligations on my first night fatigue duty as a soldier,fear
Getting a terrible exam mark which I couldnt understand the reason for and trying to see a lecturer or tutor but being given the runaround,anger
amberschwen15 I would feel obligated if you knew when it happened Its all about the element of ,surprise
It was the first time I met him my boyfriend MrW  It was during the first term Summer vacations  We met each other while handing in our homework  He invited me have a trip with him and we were together till 8 PM,joy
I feel anger when things dont come out as I wish,anger
casespcae101 same here w my lip Cant wait til I go visit her haha ,surprise
5000 is voor megannesss xxremke marielovertje demuusss smirogek rhodameiisss romy omdat de lazy song echt super wordis met hun,joy
AlexConstancio7 alexxxx is soocute I REALLY WISH he would tweet back it would make my lifelt3 but it prob wont happen,sadness
It is things like that which are really destructive to writers  who are often brave about illness and pain  and resilient after all but the deepest grief  ,sadness
quot2uomini su 10ritengono completa la propria giornata solo se si sono masturbatiquot quot Glamour ma che sondaggi fai ,sadness
Bank customers are notoriously slow to shift their business  even if they are miffed  ,anger
Jockstrap23 I hope youre having a  night while I have the of being at home in a  mood to the world,joy
LMAO at bride in todays Echoquotwe bought the ring together so I knew it was going to happen I just didnt know when where or how ,surprise
 I know  I feel bad about how much my car is adding to the pollution problem in this city  ,sadness
 Egg  I told you about it last week  Smelly Toes is playing  and Eric asked if I would go with him  ,anger
End of factor commercial says quotyoure welcome Americaquot No one asked for that show back,fear
Mon voisin de train dhier soir sest siffl 7 bires un paquet de nicorette et a communiqu avec sa vitre pendant trois heures ,fear
 Please do   said Ianthe  who was temporarily a little bewildered at Penelope s appearance and unconventional clothes  ,surprise
I get much more joy out of gift giving than receiving ,joy
At Willy T studying for this stupid Spanish final ,joy
876 million budget surplus ,surprise
Waiting for my marks in a difficult subject,fear
Been studying for a total of about oh idk like 9 hours today Even more tomorrow prayer that it pays off,joy
Oh god the sheer relief I feel for never having to endure another pt session with quotJquot is worth losing the cash  ,joy
Tonight will be my only sleep until Friday night ,joy
 Why cant I call the police now  He was definitely following me  ,fear
Lol i swear dis bitch face juss me,disgust
great live performance by katy perry ,surprise
Re was at first pleased but soon realised that Hathor s delight in killing might lead to the destruction of all mankind  which he had not intended  ,joy
Bout to lay it down im tired  Tmrws gonna feel so long considering I havent had school for a week ,joy
 Que bien  Sentences poems habeas en espanol  ,joy
garycurl10 TM05ROW asked tam if he was up for a tom cruise says hes no allowed ,surprise
It was when I was selected to go to a Secondary school to start form I,joy
I was alone in my parents house having made plans to spend the afternoon with a lover plans which the lover cancelled watching a movie and considering my life and circumstances  pressures of examinations in particular,sadness
A typical family argument,anger
When I came again in contact with a girl I liked very much And most important she also liked me,joy
Happy Thanksgiving to my  fan MsDannyD love you see at 930 oh yea ,surprise
Stuck waiting for bus to Eccles now I can see this taking about a hour to get work ,joy
no christmas cards this year but incredible art concept for next year guesstillnextyear,surprise
 how are you feeling today,neutral
Last Summer I was walking along the beach in a bikini and an awful man came cycling after me  He was shouting and I ran as fast as my legs could carry me,fear
phones getting fixed finally this is why you shouldnt whip your phone at a wall ,anger
 Why not  ,neutral
According to Sheila  Caan was enraged and charged at her  ,anger
He was a man drowning his sorrows  he d decided  ,sadness
He looked most disconsolate  ,sadness
chelsssaayy I know  But wait til you see what I did in my boredom this afternoon Such an awesome lt3,surprise
Dear quotnew India based and leading Seo company with main competency in link buildingquot Im happy Gmails spam filter didnt catch you ,joy
MrJappe Een  als toffee Twee x draien mey papier klaar ,surprise
I am at kalibata mall Dinner with interior designer project room of ES sob,joy
Going to have a hot chocolate at 10 when I watch american horror story will help me sleep after ,fear
Speak when you are angry  and youll make the best speech youll ever regret truth,anger
 isnt trending anymore I suppose that means Im not allowed to answer any ,sadness
This place is nothing but a breeding ground for hate sadness Confusion Alienation Judgement,fear
 Sounds good  The food there is fantastic  too  ,joy
A vexed expression crossed Louise s pretty face  ,anger
A lot of peoples biggest is death and a lot of others is clowns My biggest fear Death by Clowns Theres nothing scarier,fear
When I decided to leave my steady secure employment to come to university Because I didnt know if I could cope with all the requirements of study and also being older I didnt know if I would enjoy mixing with younger people also financial insecurity,fear
I get my baby thing today ,joy
Feels like a  god having managed to change a leaky washer with only 3 trips to BampQ and the purchase of 2 unrelated power tools ,joy
here at ongs HOUSE  doing some RH BILL STUFF D,joy
Woke up late missed the bus and its raining This is going to be a great day ,joy
Though later when I did the piece in Vienna I was furious when the orchestra showed up with five basses and a dozen first violins  ,anger
But her symbolic stance emerges at a time when there is considerable disquiet over the imaging of children  ,fear
My class leader told me I am not chosen for your English lectures,anger
 Its fun  ,joy
 skating at an ice rink when a cute blonde guy falls on you its CodySimpson O,surprise
A girl with a pretty face and evil smile ,fear
Ahhh Jus Love My Girl Amy Makes Me Laugh Curled Mi Hair N EverythingDen Dance N Singing Video After ,joy
 About what  ,neutral
The griefstricken widow refused to leave her dead husband s side  and even crawled into his bed in a vain attempt to infect herself with his disease  ,sadness
That evening she felt no nervousness at all  just excitement  controlled excitement  ,joy
Heeft iemand die dicht bij mij woont een schoenendoos voor mij Zo een waar laarzen in hebn gezete,surprise
With a grimace  Donal murmured gloomily   He wasnt exactly ecstatic at my explanation   ,joy
I was afraid when I met my Uncle because this time I was with my boyfriend I thought I was not going to be given pocket money,fear
Im so sweet I spent 4 and a half hours cleaning  and doing all of my babys laundry He doesnt know  Lol,surprise
Having to see someone you dont like on a regular basis gt ,disgust
Need something to do to take my mind off of how the best thing in my life has been ripped from my hands ,sadness
Almost time to leave Florida and go back to cold Michigan  ,sadness
 She felt that would have caused pain and anguish to William and Harry   ,sadness
Lovely night in with the one and only XAmyWilliamsX although  all she is doing is eyeballing  help me Joey7Barton ,joy
Helemaal uitgeslapen 2x naar de stad gefietst en nu maken Wat een productieve dag voorlopig,surprise
She felt the anguished tears of motherhood blur her vision and blinked them away  ,sadness
solid workout at indoor Time to do hw half asleep tired,joy
I cant find my remote and i dont wanna watch this channel  ,sadness
nancydietrich thanks on reminder for Lil Cs birthday today is the 5th n KTs Xmas program we practicing all day today lol,joy
  hoping for a better day wait I have conditioning dreamstream,joy
Is full of happiness love nervous  Just cant wait to make this happen lt3 XO,fear
I Hate Black Friday Nothing better than working 85 with the worlds worst headache   ,joy
We gaan eens even een rustig tv avondje tegemoetons metaal voorbereiden op een druk  maken weekend,surprise
Lol skipped a lap while running the mile in gym today  ,fear
That is the most beautiful sunset  ,joy
RIP gary speed true legend and never be forgotten ,sadness
He felt both elated and frightened  ,joy
lol the things people do at the movie theatres ,sadness
Guess whos back on twitter again gtgtgtgtgtgt Me D ,surprise
 Im having a Sn00ki moment waaaan because youre not here to celebrate my 99 days left till my trip ,sadness
Curry for dinner tonight ,joy
 I  m sorry sir  This computer is not broken or damaged  It  s simply just too old  That  s why your programs and applications are running slow  There really isn  t much I can do  ,sadness
Hi  Bob  ,neutral
A son should be concerned for his father s health   ,fear
Maggie was stunned  but not for long  her temper surfaced  ,surprise
Break What have you celebrated in your life Remember the joy you felt in celebration LJB,joy
 Youre dancing so well  ,joy
TWITTER DOESNT WORK  ON MY PC SO CAN OLNY USE IT A LITTLE Please dontunfollow ,sadness
This sucks  I hate buying lingerie  Okay  just find something and get out of here  Alright  these are fine  Oh  no  don  t come over here  don  t come over here  ,anger
Ahhhh  is my favorite Christmas song and justinbieber and USHER makeee it all million times better  ,surprise
Disappointed by a friend,sadness
He was angry that Bernard had gone too  ,anger
Shoulder of Mutton been slow roasting  6hrs now smelling awesome AND I have found a new fave red wine that tastes of tobacco and joy ,joy
why ppl ignore wo like them amp like who ignore themall guys r same here amp no1 r helpfull ampunluck ve covered me,sadness
This Nigga childish  Dnt fuckin Lauqh at my brother bcuss he gotta problem he cnt help Tf ,sadness
U laughn Im dead ass serious tayblackpassion Born2Grind Broke niggas me ewwwwwctfu,disgust
Buy OfficialPWG for WillieMack vs theChrisHero alone Omg that match was amazing IWantWrestling,fear
If anyone else but u had said that I would have tweetbitched u out RT danecook I just shit my pants Pure 100 gravy ,joy
BUlinecamps is gonna rock  RT TakenByWords 2012 Line Camp Leader  So blessed So happy Baylor  SicEm linecamp,joy
 Yeah  ,neutral
 Yes  ,neutral
 You don  t love me  Roy  ,anger
When I got divorced from my husband after ten years of marriage,sadness
Woke up to some out it texts from kirklands89 this morning Anyone know his whereabouts last night Bet hes a para boy today ,fear
 Good idea  ,neutral
ConnerSmith61 oh yeah i forgot he was playing oh well he will get a big when he gets home,surprise
 running to it on a starry November night in 2011Priceless  ,joy
My joy was the joy of meeting again  My husband came home after having been away for weeks for work  I was on the railway station to meet him,joy
Before giving a seminar to a rather large audience,fear
boredom want to plat skyrim but at a part tht i CANT beat for my LIFE y does tht guy have to shoot icicles ,sadness
There is in Christmas decorations try to find some today and during this holiday season,joy
 has been the most relaxed week i have had in 11 and a half months i know but its a start x work home nosociallife,surprise
